Date;Home Team;Away Team;Home Score;Away Score;Play-off Game?;Home Odds;Draw Odds;Away Odds;Bookmakers Surveyed
14-Mar-15;Highlanders;Waratahs;26;19;;2.35;21.32;1.61;10
14-Mar-15;Crusaders;Lions;34;6;;1.08;31.09;7.58;10
13-Mar-15;Force;Rebels;17;21;;1.7;20.67;2.19;10
13-Mar-15;Hurricanes;Blues;30;23;;1.19;25.61;4.88;10
07-Mar-15;Stormers;Sharks;29;13;;1.64;19.87;2.3;10
07-Mar-15;Cheetahs;Bulls;20;39;;2.06;20.15;1.79;10
07-Mar-15;Reds;Waratahs;5;23;;3.12;22.47;1.38;10
07-Mar-15;Blues;Lions;10;13;;1.17;26.45;5;10
06-Mar-15;Brumbies;Force;27;15;;1.13;28.08;6.02;10
06-Mar-15;Chiefs;Highlanders;17;20;;1.19;24.98;4.74;10
28-Feb-15;Lions;Stormers;19;22;;2.63;21.2;1.51;10
28-Feb-15;Bulls;Sharks;43;35;;1.85;20.08;2;10
28-Feb-15;Rebels;Brumbies;15;20;;3.25;22.42;1.36;10
28-Feb-15;Chiefs;Crusaders;40;16;;1.47;21.18;2.72;10
27-Feb-15;Cheetahs;Blues;25;24;;1.61;20.69;2.36;10
27-Feb-15;Force;Hurricanes;13;42;;2.35;20.33;1.63;10
27-Feb-15;Highlanders;Reds;20;13;;1.33;22.47;3.36;10
21-Feb-15;Sharks;Lions;29;12;;1.22;24.44;4.26;10
21-Feb-15;Stormers;Blues;27;16;;1.37;23.08;3.09;10
21-Feb-15;Reds;Force;18;6;;2.02;18.73;1.84;10
21-Feb-15;Highlanders;Crusaders;20;26;;2.28;20.14;1.65;10
20-Feb-15;Bulls;Hurricanes;13;17;;1.51;21.41;2.6;10
20-Feb-15;Rebels;Waratahs;28;38;;3.15;21.31;1.37;10
20-Feb-15;Chiefs;Brumbies;19;17;Y;1.48;21.72;2.69;10
15-Feb-15;Waratahs;Force;13;25;Y;1.13;27.61;5.98;10
14-Feb-15;Bulls;Stormers;17;29;Y;1.3;22.12;3.57;10
14-Feb-15;Sharks;Cheetahs;29;35;Y;1.17;24.87;5.04;10
14-Feb-15;Blues;Chiefs;18;23;Y;1.96;20.01;1.88;10
13-Feb-15;Lions;Hurricanes;8;22;;2.07;19.71;1.78;10
13-Feb-15;Brumbies;Reds;47;3;;1.29;23.09;3.71;10
13-Feb-15;Crusaders;Rebels;10;20;;1.14;27.08;5.52;10
02-Aug-14;Waratahs;Crusaders;33;32;;1.76;20.21;2.09;10
26-Jul-14;Waratahs;Brumbies;26;8;;1.33;22;3.34;10
26-Jul-14;Crusaders;Sharks;38;6;;1.29;23.48;3.53;10
19-Jul-14;Sharks;Highlanders;31;27;;1.13;30.27;5.73;10
19-Jul-14;Brumbies;Chiefs;32;30;;1.51;20.31;2.55;10
12-Jul-14;Stormers;Sharks;10;34;;1.77;19.31;2.06;10
12-Jul-14;Lions;Cheetahs;60;25;;1.72;19.5;2.12;10
12-Jul-14;Reds;Waratahs;3;34;;3.14;21.85;1.35;10
12-Jul-14;Crusaders;Highlanders;34;8;;1.18;24.5;4.69;10
12-Jul-14;Bulls;Rebels;40;7;;1.06;33.19;8.42;10
11-Jul-14;Brumbies;Force;47;25;;1.26;22.85;3.79;10
11-Jul-14;Blues;Chiefs;8;11;;1.88;19.33;1.93;10
06-Jul-14;Waratahs;Highlanders;44;16;;1.24;23.25;3.99;10
05-Jul-14;Cheetahs;Sharks;27;20;;3.19;22.71;1.34;10
05-Jul-14;Stormers;Bulls;16;0;;1.62;20.46;2.3;10
05-Jul-14;Force;Reds;30;20;;1.64;20.21;2.26;10
05-Jul-14;Crusaders;Blues;21;13;;1.34;21.63;3.27;10
04-Jul-14;Lions;Rebels;34;17;;1.38;21.62;3.01;10
04-Jul-14;Chiefs;Hurricanes;24;16;;1.62;19.87;2.28;10
28-Jun-14;Force;Blues;14;40;;1.69;20.06;2.16;10
28-Jun-14;Waratahs;Brumbies;39;8;;1.22;23.77;4.23;10
28-Jun-14;Hurricanes;Crusaders;16;9;;2.05;19.79;1.77;10
27-Jun-14;Rebels;Reds;20;36;;1.61;20.15;2.33;10
27-Jun-14;Highlanders;Chiefs;29;25;;2.02;19.52;1.8;10
31-May-14;Sharks;Stormers;19;21;;1.28;22.5;3.63;10
31-May-14;Lions;Bulls;32;21;;3.3;22.15;1.33;10
31-May-14;Brumbies;Rebels;37;10;;1.19;23.88;4.53;10
31-May-14;Blues;Hurricanes;37;24;;2.03;19.37;1.79;10
31-May-14;Chiefs;Waratahs;17;33;;1.64;19.88;2.26;10
30-May-14;Reds;Highlanders;38;31;;2.22;20.13;1.65;10
30-May-14;Crusaders;Force;30;7;;1.13;27.5;5.7;10
24-May-14;Stormers;Cheetahs;33;0;;1.43;21.92;2.81;10
